ssoar                   , ssoar                             , 11 , str  , ssoar               ,       
id                      , handle                            , 11 , str  , ssoar               ,       
doi                     , dc.identifier.doi                 , 11 , str  , handle              ,       
doi                     , dc.identifier.doi.de              , 11 , str  , handle              ,       
uri                     , dc.identifier.uri                 , 11 , str  , handle              ,       
urn                     , dc.identifier.urn                 , 11 , str  , handle              ,       
urn                     , dc.identifier.urn.de              , 11 , str  , handle              ,       
issn                    , dc.identifier.issn                , 11 , str  , handle              ,       
issn                    , dc.identifier.issn.de             , 11 , str  , handle              ,       
isbn                    , dc.identifier.isbn                , 11 , str  , handle              ,       
isbn                    , dc.identifier.isbn.de             , 11 , str  , handle              ,       
url                     , dc.identifier.url                 , 11 , str  , handle              ,       
url                     , dc.identifier.url.de              , 11 , str  , handle              ,       
handle                  , dc.identifier.handle              , 11 , str  , handle              ,       
handle                  , dc.identifier.handle.de           , 11 , str  , handle              ,       
version                 , _version_                         , 11 , int  , handle              ,       
title                   , title                             , 11 , str  , handle              ,       
title                   , dc.title.de                       , 11 , str  , handle              ,       
title                   , dc.title.en                       , 11 , str  , handle              ,       
title                   , dc.title.es                       , 11 , str  , handle              ,       
title                   , dc.title.pt                       , 11 , str  , handle              ,       
title                   , dc.title.misc                     , 11 , str  , handle              ,       
title_alt               , dc.title.alternative              , 11 , str  , handle              ,       
title_alt               , dc.title.alternative.en           , 11 , str  , handle              ,       
title_alt               , dc.title.alternative.de           , 11 , str  , handle              ,       
title_alt               , dc.title.alternative.pt           , 11 , str  , handle              ,       
title_alt               , dc.title.alternative.es           , 11 , str  , handle              ,       
title_alt               , dc.title.alternative.misc         , 11 , str  , handle              ,       
date_accession          , dc.date.accessioned               , 11 , str  , handle              ,       
date_accession          , dc.date.accessioned.de            , 11 , str  , handle              ,       
date_available          , dc.date.available                 , 11 , str  , handle              ,       
date_conference         , dc.date.conference                , 11 , str  , handle              ,       
date_conference         , dc.date.conference.de             , 11 , str  , handle              ,       
date_modified           , dc.date.modified                  , 11 , str  , handle              ,       
date_modified           , dc.date.modified.de               , 11 , str  , handle              ,       
date_issued             , dc.date.issued                    , 11 , str  , handle              ,       
date_issued             , dc.date.issued.de                 , 11 , str  , handle              ,       
date_issued             , dateIssued                        , 11 , str  , handle              ,       
year_issued             , dateIssued.year                   , 11 , str  , handle              ,       
year_issued             , dateIssued.year_sort              , 11 , int  , handle              ,       
publisher               , dc.publisher                      , 11 , str  , handle              ,       
publisher               , dc.publisher.de                   , 11 , str  , handle              ,       
publisher_country       , dc.publisher.country              , 11 , str  , handle              ,       
publisher_city          , dc.publisher.city                 , 11 , str  , handle              ,       
publisher_city          , dc.publisher.city.de              , 11 , str  , handle              ,       
contributor             , ssoar.contributor.name            , nn , str  , handle              ,       
contributor             , ssoar.contributor.name.de         , nn , str  , handle              ,       
contributor_email       , ssoar.contributor.email           , nn , str  , handle              ,       
contributor_email       , ssoar.contributor.email.de        , nn , str  , handle              ,       
contributor_institution , ssoar.contributor.institution     , nn , str  , handle              ,       
editor                  , editor                            , nn , str  , handle              ,       
editor                  , dc.contributor.editor             , nn , str  , handle              ,       
editor                  , dc.contributor.editor.de          , nn , str  , handle              ,       
corp_editor             , dc.contributor.corporateeditor    , nn , str  , handle              ,       
corp_editor             , dc.contributor.corporateeditor.de , nn , str  , handle              ,       
affiliation             , institution                       , nn , str  , handle              ,       
author                  , dc.contributor.author             , nn , str  , handle              ,       
author                  , author                            , nn , str  , handle              ,       
location                , location                          , nn , str  , handle              ,       
location_coll           , location.coll                     , nn , str  , handle              ,       
location_comm           , location.comm                     , nn , str  , handle              ,       
location_event          , dc.event.city                     , nn , str  , handle              ,       
location_event          , dc.event.city.de                  , nn , str  , handle              ,       
language                , dc.language                       , 11 , str  , handle              ,       
language                , dc.language.de                    , 11 , str  , handle              ,       
src_journal             , dc.source.journal                 , 11 , str  , handle              ,       
src_journal             , dc.source.journal.de              , 11 , str  , handle              ,       
src_journal             , journal                           , 11 , str  , handle              ,       
src_issue               , issue                             , 11 , int  , handle              ,       
src_issue               , dc.source.issue                   , 11 , int  , handle              ,       
src_issue               , dc.source.issue.de                , 11 , int  , handle              ,       
src_issue_topic         , dc.source.issuetopic              , 11 , str  , handle              ,       
src_issue_topic         , dc.source.issuetopic.de           , 11 , str  , handle              ,       
src_volume              , dc.source.volume                  , 11 , int  , handle              ,       
src_volume              , dc.source.volume.de               , 11 , int  , handle              ,       
src_volume              , volume                            , 11 , int  , handle              ,       
src_series              , series                            , 11 , str  , handle              ,       
src_series              , dc.source.series                  , 11 , str  , handle              ,       
src_series              , dc.source.series.de               , 11 , str  , handle              ,       
src_pages               , dc.source.pageinfo                , 11 , str  , handle              ,       
src_pages               , dc.source.pageinfo.de             , 11 , str  , handle              ,       
src_collection          , dc.source.collection              , 11 , str  , handle              ,       
src_collection          , dc.source.collection.de           , 11 , str  , handle              ,       
src_conference          , dc.source.conference              , 11 , str  , handle              ,       
