ssoar                   , ssoar                             , 11 , str  , ssoar               ,       
id                      , id                                , 11 , str  , ssoar               ,       
doi                     , dc.identifier.doi                 , 11 , str  , id                  ,       
doi                     , dc.identifier.doi.de              , 11 , str  , id                  ,       
uri                     , dc.identifier.uri                 , 11 , str  , id                  ,       
urn                     , urn                               , 11 , str  , id                  ,       
urn                     , dc.identifier.urn.de              , 11 , str  , id                  ,       
issn                    , coreIssn                          , 11 , str  , id                  ,       
issn                    , dc.identifier.issn.de             , 11 , str  , id                  ,       
isbn                    , dc.identifier.isbn                , 11 , str  , id                  ,       
isbn                    , dc.identifier.isbn.de             , 11 , str  , id                  ,       
url                     , portal_url                        , 11 , str  , id                  ,       
url                     , dc.identifier.url.de              , 11 , str  , id                  ,       
handle                  , dc.identifier.handle              , 11 , str  , id                  ,       
handle                  , dc.identifier.handle.de           , 11 , str  , id                  ,       
version                 , _version_                         , 11 , int  , id                  ,       
title                   , title                             , 11 , str  , id                  ,       
title                   , dc.title.de                       , 11 , str  , id                  ,       
title                   , dc.title.en                       , 11 , str  , id                  ,       
title                   , dc.title.es                       , 11 , str  , id                  ,       
title                   , dc.title.pt                       , 11 , str  , id                  ,       
title                   , dc.title.misc                     , 11 , str  , id                  ,       
title_alt               , dc.title.alternative              , 11 , str  , id                  ,       
title_alt               , dc.title.alternative.en           , 11 , str  , id                  ,       
title_alt               , dc.title.alternative.de           , 11 , str  , id                  ,       
title_alt               , dc.title.alternative.pt           , 11 , str  , id                  ,       
title_alt               , dc.title.alternative.es           , 11 , str  , id                  ,       
title_alt               , dc.title.alternative.misc         , 11 , str  , id                  ,       
date_accession          , dc.date.accessioned               , 11 , str  , id                  ,       
date_accession          , dc.date.accessioned.de            , 11 , str  , id                  ,       
date_available          , dc.date.available                 , 11 , str  , id                  ,       
date_conference         , dc.date.conference                , 11 , str  , id                  ,       
date_conference         , dc.date.conference.de             , 11 , str  , id                  ,       
date_modified           , dc.date.modified                  , 11 , str  , id                  ,       
date_modified           , dc.date.modified.de               , 11 , str  , id                  ,       
date_issued             , dc.date.issued                    , 11 , str  , id                  ,       
date_issued             , date                              , 11 , str  , id                  ,       
date_issued             , dateIssued                        , 11 , str  , id                  ,       
year_issued             , dateIssued.year                   , 11 , str  , id                  ,       
year_issued             , dateIssued.year_sort              , 11 , int  , id                  ,       
publisher               , dc.publisher                      , 11 , str  , id                  ,       
publisher               , dc.publisher.de                   , 11 , str  , id                  ,       
publisher_country       , dc.publisher.country              , 11 , str  , id                  ,       
publisher_city          , dc.publisher.city                 , 11 , str  , id                  ,       
publisher_city          , dc.publisher.city.de              , 11 , str  , id                  ,       
contributor             , person                            , nn , str  , id                  ,       
contributor             , ssoar.contributor.name.de         , nn , str  , id                  ,       
contributor_email       , ssoar.contributor.email           , nn , str  , id                  ,       
contributor_email       , ssoar.contributor.email.de        , nn , str  , id                  ,       
contributor_institution , institutions                      , nn , str  , id                  ,       
editor                  , editor                            , nn , str  , id                  ,       
editor                  , dc.contributor.editor             , nn , str  , id                  ,       
editor                  , dc.contributor.editor.de          , nn , str  , id                  ,       
corp_editor             , dc.contributor.corporateeditor    , nn , str  , id                  ,       
corp_editor             , dc.contributor.corporateeditor.de , nn , str  , id                  ,       
affiliation             , institution                       , nn , str  , id                  ,       
author                  , coreAuthor                        , nn , str  , id                  ,       
author                  , author                            , nn , str  , id                  ,       
location                , location                          , nn , str  , id                  ,       
location_coll           , location.coll                     , nn , str  , id                  ,       
location_comm           , location.comm                     , nn , str  , id                  ,       
location_event          , dc.event.city                     , nn , str  , id                  ,       
location_event          , dc.event.city.de                  , nn , str  , id                  ,       
language                , coreLanguage                      , 11 , str  , id                  ,       
language                , dc.language.de                    , 11 , str  , id                  ,       
src_journal             , source                            , 11 , str  , id                  ,       
src_journal             , dc.source.journal.de              , 11 , str  , id                  ,       
src_journal             , journal                           , 11 , str  , id                  ,       
src_issue               , coreZsnummer                      , 11 , int  , id                  ,       
src_issue               , dc.source.issue                   , 11 , int  , id                  ,       
