ssoar                   , ssoar                             , 11 , str  , ssoar               ,       
id                      , id                                , 11 , str  , ssoar               ,       
doi                     , doi                               , nn , str  , id                  ,       
urn                     , urn                               , 11 , str  , id                  ,       
issn                    , coreIssn                          , 11 , str  , id                  ,       
url                     , portal_url                        , 11 , str  , id                  ,       
version                 , _version_                         , 11 , int  , id                  ,       
title                   , title                             , 11 , str  , id                  ,       
date_issued             , date                              , 11 , str  , id                  ,       
contributor             , person                            , nn , str  , id                  ,       
contributor_institution , institutions                      , nn , str  , id                  ,       
editor                  , editor                            , nn , str  , id                  ,       
affiliation             , institution                       , nn , str  , id                  ,       
author                  , coreAuthor                        , nn , str  , id                  ,       
author                  , author                            , nn , str  , id                  ,       
location                , location                          , nn , str  , id                  ,       
location_coll           , location.coll                     , nn , str  , id                  ,       
location_comm           , location.comm                     , nn , str  , id                  ,       
language                , coreLanguage                      , 11 , str  , id                  ,       
src_journal             , source                            , 11 , str  , id                  ,       
src_journal             , journal                           , 11 , str  , id                  ,       
src_issue               , coreZsnummer                      , 11 , int  , id                  ,       
src_volume              , coreZsband                        , 11 , int  , id                  ,       
src_volume              , volume                            , 11 , int  , id                  ,       
src_series              , series                            , 11 , str  , id                  ,       
publication_group       , publication_grp                   , 11 , str  , id                  ,       
publication_status      , pubstatus                         , 11 , str  , id                  ,       
reviewed                , review                            , 11 , str  , id                  ,       
abstract                , abstract                          , 11 , str  , id                  ,       
subject_thesoz          , thesoz                            , nn , str  , id                  ,       
subject_classoz         , classoz                           , nn , str  , id                  ,       
subject_other_de        , topic                             , nn , str  , id                  ,       
doctype                 , documentType                      , 11 , str  , id                  ,       
doctype_de              , document_type                     , 11 , str  , id                  ,       
doctype_en              , subtype                           , 11 , str  , id                  ,       
